Country,Year,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Bangladesh,2015,Southern Asia,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222
Bangladesh,2016,Southern Asia,110,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132
Bangladesh,2017,Southern Asia,110,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859
Bangladesh,2018,Southern Asia,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153
India,2015,Southern Asia,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475
India,2016,Southern Asia,118,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028
India,2017,Southern Asia,122,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885
India,2018,Southern Asia,133,4.19,0.721,0.747,0.485,0.539,0.093,0.172
Pakistan,2015,Southern Asia,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671
Pakistan,2016,Southern Asia,92,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185
Pakistan,2017,Southern Asia,80,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,0.124348067
Pakistan,2018,Southern Asia,75,5.472,0.652,0.81,0.424,0.334,0.113,0.216
Denmark,2015,Western Europe,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139
Denmark,2016,Western Europe,1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171
Denmark,2017,Western Europe,2,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068
Denmark,2018,Western Europe,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284
Iceland,2015,Western Europe,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363
Iceland,2016,Western Europe,3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678
Iceland,2017,Western Europe,3,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559
Iceland,2018,Western Europe,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353
Norway,2015,Western Europe,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699
Norway,2016,Western Europe,4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895
Norway,2017,Western Europe,1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835
Norway,2018,Western Europe,2,7.594,1.456,1.582,0.861,0.686,0.34,0.286
Switzerland,2015,Western Europe,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678
Switzerland,2016,Western Europe,2,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083
Switzerland,2017,Western Europe,4,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285
Switzerland,2018,Western Europe,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256
